student_id,school_id,grade,gender,socioeconomic_band,device_access,internet_quality,enrollment_date,baseline_engagement_score,dropout_probability,dropped_out,dropout_day,dropout_date,school_name,region,school_type,urbanicity,teacher_student_ratio,digital_readiness_score,implementation_quality,active_days,total_sessions,total_minutes,avg_minutes_per_session,total_content_completed,avg_accuracy,last_active_day,recent_sessions,early_sessions,engagement_momentum,assessments_taken,avg_assessment_score,pass_rate,engagement_rate,minutes_per_active_day,completion_intensity,inactive_days_since_last_activity,risk_score,engagement_segment
STU00001,SCH097,8,Male,Middle,Laptop/Desktop,Poor,2025-08-08,0.814,0.139,False,,,School 097,South,Private,Rural,0.02,88.4,90.8,56.0,137.0,5846.0,42.67153284671533,425.0,0.4507372262773722,90.0,33.0,67.0,-34.0,6,95.6,1.0,0.6222222222222222,104.39285714285714,4.722222222222222,0.0,0.4084444444444444,Needs Re-engagement
STU00002,SCH087,9,Female,Middle,Own phone,Good,2025-08-05,0.915,0.088,True,73.0,2025-10-13,School 087,West,Public,Urban,0.0351,87.9,44.5,53.0,110.0,4273.8,38.85272727272727,395.0,0.5098363636363636,74.0,12.0,65.0,-53.0,5,97.66,1.0,0.5888888888888889,80.63773584905661,4.388888888888889,16.0,0.3588888888888888,Needs Re-engagement
STU00003,SCH094,8,Female,Middle,Laptop/Desktop,Moderate,2025-08-02,0.98,0.056,False,,,School 094,South,Low-cost Private,Urban,0.0404,91.8,92.7,74.0,214.0,10522.8,49.17196261682243,773.0,0.4794672897196261,90.0,76.0,75.0,1.0,6,97.05,1.0,0.8222222222222222,142.2,8.588888888888889,0.0,0.0604444444444444,High Performers
STU00004,SCH067,8,Male,Low,Tablet,Good,2025-08-01,0.851,0.143,False,,,School 067,East,Low-cost Private,Urban,0.0387,47.8,51.4,73.0,187.0,7727.3,41.322459893048126,677.0,0.5112566844919786,90.0,66.0,67.0,-1.0,6,97.85,1.0,0.8111111111111111,105.85342465753423,7.522222222222222,0.0,0.2442222222222222,Needs Re-engagement
STU00005,SCH058,11,Male,Middle,Own phone,Moderate,2025-08-05,0.98,0.074,False,,,School 058,East,Private,Urban,0.018,65.4,79.2,74.0,217.0,10607.2,48.88110599078341,815.0,0.4771705069124424,90.0,73.0,79.0,-6.0,6,100.0,1.0,0.8222222222222222,143.34054054054056,9.055555555555555,0.0,0.2404444444444444,Needs Re-engagement
STU00006,SCH079,10,Female,Middle,Shared phone,Moderate,2025-08-06,0.662,0.305,False,,,School 079,East,Low-cost Private,Rural,0.026,95.5,56.1,57.0,125.0,4575.0,36.6,367.0,0.46904,89.0,39.0,41.0,-2.0,6,70.63333333333333,0.6666666666666666,0.6333333333333333,80.26315789473684,4.0777777777777775,1.0,0.3604444444444444,Needs Re-engagement
STU00007,SCH028,10,Female,High,Shared phone,Good,2025-08-03,0.813,0.201,False,,,School 028,North,Public,Suburban,0.0292,70.8,68.8,73.0,208.0,9327.7,44.84471153846154,711.0,0.4800721153846154,89.0,83.0,58.0,25.0,6,84.33333333333333,1.0,0.8111111111111111,127.77671232876712,7.9,1.0,0.0666666666666666,High Performers
STU00008,SCH030,9,Male,Low,Shared phone,Moderate,2025-08-11,0.537,0.409,True,50.0,2025-09-20,School 030,West,Private,Urban,0.0264,88.5,74.0,26.0,64.0,1720.1,26.8765625,197.0,0.4200625,49.0,0.0,40.0,-40.0,4,73.525,1.0,0.2888888888888888,66.1576923076923,2.188888888888889,41.0,0.522,Needs Re-engagement
STU00009,SCH090,12,Male,Low,Own phone,Poor,2025-08-19,0.341,0.635,True,47.0,2025-09-17,School 090,East,Public,Urban,0.018,29.0,45.8,10.0,18.0,565.1,31.39444444444445,40.0,0.6048333333333333,46.0,0.0,11.0,-11.0,3,30.6,0.0,0.1111111111111111,56.510000000000005,0.4444444444444444,44.0,0.8497777777777777,Needs Re-engagement
STU00010,SCH090,7,Female,Low,Laptop/Desktop,Poor,2025-08-15,0.576,0.397,True,57.0,2025-09-27,School 090,East,Public,Urban,0.018,29.0,45.8,22.0,51.0,1669.1,32.727450980392156,136.0,0.3548627450980392,57.0,0.0,28.0,-28.0,4,60.125,0.25,0.2444444444444444,75.86818181818181,1.511111111111111,33.0,0.7375555555555555,Needs Re-engagement
